Luis Orlando Briceño
Luisa Escobar
M. A. Ingegneri
M. Morales
M.A. ingegneri
Manfred Hilger
Mario Gajardo
Martin Lather
Mary Donrelly
Mary Goetze
Maurice Jarre
Mauricio Chamate
Meldelssohn
Melodia Ginebra
Mi chelangelo Grancini
Michael Heast
Michael Hurt
Michael McGlynn
Michael Praetories
Michelangelo Grancini
Miguek Velarde
Miguel Asins Arbó
Miguel Astor
Miguel Garcia
Miguel Padro
Modesta Bor
Moises Hogan
Moises Mata
Moises Moleiro
Moises Simons
Moses Hogan
Movimiento
Mozart
Mozon
Murillo Santos
Nancy Telfer
Negro Spintual
Nick page
Nicolas Garcia
Nicolds Guillen
Nikols Kocsar
Norman Luboff
O. Ravanello
Octavio Marin
Orban
Oreste Ravanello
Orlando Di Lasso
Orlando Dibbans
Orlando Gomez A.
Orlando Sifontes
Orlandus Lassus
Oscar Gailan
Oscar Guillon
Oscar Peterson
Otilio Galindez
Otto Fischer
P. Paanlavse
Pablo Bonsaya
Pablo Fernandez Badillo
Pablo Nerudo
Pau Casals
Pedro
Pedro Rincon
Pentotonix
Petar Liondev
Piazzoralla
Pierluigi da palestrina
Pierre Bigot
Purcell
R. Benedito
R. Delgado Palacios
R. Hernandez
Rafael
Rafael Gomez
Rafael Hernandez
Rafael Izaza
Rafael Suarez
Raimundo Pereira
Rameau
Rarael Suarez
Reginald Jecques
René Rojas
Ricardo Dorado
Ricardo perez
Richard Rodgers
Richard Rudolf
Robert Shaw
Robert Southwell
Roberto Aguirre
Roberto oi Marino
Roberto Rodgriguez
Roberto Valera
Rodolfo Luaces
Roger Luagne
Rogerio a Caraballo
Rogerio A caraballo
Romo raventos
Ruben Rivas
Ruth watson Henderson
S. Eisennstein
S. Madariaga
Salas Viu
San juan de la cruz
Sancho Marraco
Satz
Sebastian Piana
Sigesmundo Romero
Silvia Andrades Grassi
Silvio Rodriguez
Simón Díaz
Sindo Garay
T. Luis de vicotira
Tasset - Remy
The krones
Thomas Koschat
Thomas tallis
Tom Rice
Tomas L. de victoria
Tomás Luis de Victoria
Tradind Francia
Unicios de morace
V E Sojo
Val. Berzakalas
Variado
Varios
Varios autores
Veto Valderrama
Vicente Ascone
Vicente Emilio Sojo
Victoria
Victoria Mohn
Victoria Rodriguez
Villancia
